数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,江苏,2024,52.6,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2024,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2024,2.9,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2024,0.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2024,4.7,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2024,47.5,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2024,10.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2024,25.2,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2023,29.6,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2023,23.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2023,5.8,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2023,7.4,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2023,16.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2023,6.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2022,79.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2022,4.7,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2022,71.8,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2022,4.6,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2022,3.1,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2022,0.0,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2022,4.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2022,0.1,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2022,0.2,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2022,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2022,45.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2022,5.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2022,16.6,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2021,88.3,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2021,2.3,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2021,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2021,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2021,64.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2021,1.3,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2021,23.8,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2021,1.0,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2021,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2021,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2021,65.0,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2021,32.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2021,8.9,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2020,135.6,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2020,20.4,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2020,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2020,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2020,123.6,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2020,19.7,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2020,12.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2020,0.7,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2020,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2020,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2020,108.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2020,5.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2020,19.0,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2019,224.2,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2019,18.1,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2019,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2019,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2019,155.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2019,14.9,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2019,68.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2019,3.2,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2019,0.2,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2019,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2019,145.9,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2019,9.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2019,15.6,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2018,380.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2018,34.7,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2018,5.8,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2018,0.2,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2018,258.1,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2018,31.5,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2018,99.4,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2018,2.8,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2018,16.7,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2018,0.2,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2018,348.3,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2018,17.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2018,41.3,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2017,90.7,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2017,8.1,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2017,37.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2017,3.9,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2017,0.6,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2017,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2017,52.8,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2017,4.2,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2017,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2017,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2017,77.0,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2017,18.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2017,8.0,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2016,301.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2016,7.3,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2016,134.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2016,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2016,92.6,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2016,4.9,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2016,70.1,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2016,2.1,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2016,4.1,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2016,0.3,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2016,237.7,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2016,101.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2016,120.9,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2015,615.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2015,41.0,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2015,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2015,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2015,459.7,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2015,33.4,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2015,97.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2015,6.0,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2015,58.8,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2015,1.6,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2015,534.8,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2015,10.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2015,84.9,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2014,554.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2014,39.8,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2014,473.9,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2014,34.5,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2014,23.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2014,0.3,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2014,56.3,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2014,5.0,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2014,0.5,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2014,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2014,548.4,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2014,1.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2014,14.0,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2013,487.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2013,25.1,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2013,223.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2013,11.7,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2013,43.6,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2013,1.3,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2013,164.4,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2013,6.3,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2013,56.0,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2013,5.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2013,590.7,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2013,11.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2013,32.7,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2012,697.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2012,43.4,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2012,366.7,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2012,9.3,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2012,296.6,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2012,34.1,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2012,34.2,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2012,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2012,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2012,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2012,1492.9,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2012,10.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2012,107.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2011,1032.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2011,37.0,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,江苏,2011,481.6,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,江苏,2011,20.0,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,江苏,2011,342.9,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,江苏,2011,17.0,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,江苏,2011,204.5,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,江苏,2011,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,江苏,2011,3.1,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,江苏,2011,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江苏,2011,1907.5,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,江苏,2011,22.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,江苏,2011,90.5,亿元
自然灾害,农作物受灾面积 (千公顷) ,江苏,2010,648.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,江苏,2010,13.8,千公顷
