数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2018,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2017,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2016,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2015,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2014,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2013,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2012,486.79,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2011,474.23,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2010,527.1,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2009,543.77,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2008,496.26,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2007,464.55,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2006,483.64,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,江西,2005,436.33,公斤
