数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2024,2167.96,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2024,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2023,2003.39,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2023,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2022,1916.68,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2022,102.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2021,1796.31,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2021,104.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2020,1689.88,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2020,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2019,1624.25,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2019,104.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2018,1549.22,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2018,104.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2017,1489.29,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2017,105.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2016,1435.31,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2016,104.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2015,1361.85,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2015,106.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2014,1170.83,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2014,103.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2013,1094.72,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2013,105.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2012,1020.74,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2012,102.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2011,931.17,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2011,106.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2010,810.68,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2010,101.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2009,736.07,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2009,102.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2008,698.35,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2008,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2007,623.06,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2007,103.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2006,557.19,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2006,105.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,江西,2005,510.47,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,江西,2005,103.4,无
