数据集名称,指标名称,地区,年份,数值,单位
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2024,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2023,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2022,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2021,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2020,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2019,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2018,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2017,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2016,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2015,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2014,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2013,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2012,2480.28,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2011,2413.74,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2010,2275.81,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2009,2284.06,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2008,2194.4,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2007,2074.91,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2006,2008.2,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,江西,2005,1837.87,公斤/人
