数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2024,8527.12,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2024,363900.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2024,945248.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2024,476597.6,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2023,8403.77,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2023,352846.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2023,995728.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2023,462138.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2022,8249.08,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2022,336717.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2022,1034046.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2022,451640.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2021,8096.81,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2021,319960.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2021,1090334.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2021,442488.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2021,178364.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2021,152640.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2020,7965.74,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2020,306385.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2020,1124406.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2020,430549.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2020,173404.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2020,154204.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2019,7830.72,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2019,280018.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2019,1223857.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2019,419438.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2019,167388.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2019,156946.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2018,7706.2,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2018,272957.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2018,1223000.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2018,405700.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2018,160500.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2018,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2018,159600.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2017,7580.58,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2017,314700.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2017,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2017,1289900.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2017,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2017,597900.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2017,1687800.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2017,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2017,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2017,753500.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2017,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2017,156000.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2017,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2017,168100.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2016,7401.97,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2016,298700.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2016,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2016,1318100.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2016,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2016,538000.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2016,1733900.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2016,1529100.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2016,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2016,884700.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2016,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2016,147400.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2016,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2016,193300.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2015,11102.81,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2015,274300.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2015,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2015,1362600.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2015,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2015,497800.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2015,1803900.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2015,1544600.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2015,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2015,942700.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2015,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2015,137700.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2015,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2015,198200.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2014,10942.86,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2014,254600.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2014,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2014,1386200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2014,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2014,458200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2014,1837400.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2014,1536200.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2014,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2014,970300.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2014,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2014,127700.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2014,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2014,202500.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2013,10762.72,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2013,234300.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,河北,2013,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,河北,2013,1424200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,河北,2013,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,河北,2013,435300.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,河北,2013,1910500.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,河北,2013,1523900.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,河北,2013,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,河北,2013,1007500.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,河北,2013,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,河北,2013,115200.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,河北,2013,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,河北,2013,207100.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,河北,2012,10553.81,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,河北,2012,213700.0,台
