数据集名称,指标名称,地区,年份,数值,单位
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2024,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2023,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2022,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2021,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2020,104.3,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2020,101.8,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2020,105.3,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2020,103.5,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2020,100.2,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2020,98.6,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2020,87.6,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2020,99.3,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2020,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2020,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2020,101.1,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2019,103.1,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2019,100.6,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2019,100.0,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2019,101.0,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2019,100.2,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2019,101.8,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2019,94.7,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2019,100.3,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2019,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2019,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2019,102.8,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2018,103.2,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2018,100.8,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2018,103.6,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2018,101.7,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2018,100.7,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2018,108.4,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2018,111.2,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2018,101.8,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2018,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2018,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,河北,2018,100.2,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,河北,2017,101.0,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,河北,2017,100.7,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,河北,2017,99.6,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,河北,2017,102.0,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,河北,2017,100.2,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,河北,2017,102.4,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,河北,2017,107.8,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,河北,2017,100.5,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,河北,2017,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,河北,2017,,无
