数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2012,1.89,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2012,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2012,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2012,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2011,1.87,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2011,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2011,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2011,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2010,1.98,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2010,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2010,0.08,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2010,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2009,1.98,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2009,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2009,0.08,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2009,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2008,1.94,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2008,0.11,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2008,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2008,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2007,1.93,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2007,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2007,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2007,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2006,1.94,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2006,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2006,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2006,0.0,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,河北,2005,1.89,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,河北,2005,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,河北,2005,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,河北,2005,,亩/人
