数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2021,45.2,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2021,18060.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2020,366.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2020,404703.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2020,1300.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2020,20360.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2020,56629.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2019,345.83,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2019,407408.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2019,2540.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2019,17970.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2019,59859.98,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2018,2810.76,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2018,403748.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2018,7730.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2018,18410.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2018,67103.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2017,4080.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2017,396073.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2017,140.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2017,27710.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2017,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2017,61054.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2016,9833.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2016,395833.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2016,505.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2016,27710.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2016,2560.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2016,48227.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2015,5066.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2015,395658.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2015,7930.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2015,28195.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2015,3045.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2015,42078.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2014,17451.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2014,388728.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2014,15645.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2014,34000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2014,800.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2014,46936.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2013,5731.5,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2013,385308.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2013,3600.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2013,34840.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2013,4910.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2013,53396.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2012,3827.14,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2012,381693.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2012,2220.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2012,29930.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2012,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2012,50475.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2011,8206.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2011,379373.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2011,8390.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2011,34510.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2011,8950.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2011,43023.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2010,8402.51,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2010,370983.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2010,1055.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2010,40500.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2010,13130.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2010,35087.25,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2009,5027.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2009,370178.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2009,4720.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2009,26010.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2009,6340.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2009,29127.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2008,2473.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2008,365458.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2008,7195.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2008,14570.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2008,5320.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2008,38428.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2007,5776.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2007,358263.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2007,7866.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2007,66475.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2007,3800.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2007,35288.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2006,7682.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2006,349292.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2006,10375.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2006,23075.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2006,6115.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2006,38610.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,河北,2005,11142.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,河北,2005,339262.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,河北,2005,7352.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,河北,2005,17695.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,河北,2005,9945.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,河北,2005,35233.0,万千瓦时
