数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,河北,2024,1008.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2024,207.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2024,1622.47,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2024,6779.8,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2023,1013.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2023,207.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2023,1622.47,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2023,6573.33,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2022,1018.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2022,208.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2022,1621.02,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2022,6359.83,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2021,1021.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2021,208.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2021,1610.13,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2021,6147.02,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2020,1031.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2020,207.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2020,1638.06,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2020,5934.37,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2019,1060.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2019,206.29,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2019,1638.25,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2019,5722.22,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2018,1070.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2018,206.4,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2018,1638.25,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2018,5532.54,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2017,1070.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2017,206.36,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2017,1641.15,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2017,5379.15,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2016,1065.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2016,206.39,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2016,1641.15,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2016,5187.9,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2015,1082.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,河北,2015,205.99,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,河北,2015,1641.14,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,河北,2015,5061.55,千公顷
水利设施和除涝面积,水库数 (座) ,河北,2014,1078.0,座
