数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,河北,2024,178.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,河北,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,河北,2024,33.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,河北,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,河北,2024,117.3,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,河北,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,河北,2024,27.3,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,河北,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,河北,2024,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,河北,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,河北,2024,88.6,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,河北,2024,7.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,河北,2024,16.2,亿元
自然灾害,农作物受灾面积 (千公顷) ,河北,2023,643.8,千公顷
自然灾害,农作物绝收面积 (千公顷) ,河北,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,河北,2023,225.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,河北,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,河北,2023,375.9,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,河北,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,河北,2023,35.3,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,河北,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,河北,2023,7.5,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,河北,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,河北,2023,598.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,河北,2023,51.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,河北,2023,994.6,亿元
自然灾害,农作物受灾面积 (千公顷) ,河北,2022,135.3,千公顷
自然灾害,农作物绝收面积 (千公顷) ,河北,2022,19.6,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,河北,2022,28.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,河北,2022,5.5,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,河北,2022,25.3,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,河北,2022,1.9,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,河北,2022,50.2,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,河北,2022,9.4,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,河北,2022,31.6,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,河北,2022,2.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,河北,2022,94.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,河北,2022,15.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,河北,2022,9.5,亿元
自然灾害,农作物受灾面积 (千公顷) ,河北,2021,388.9,千公顷
自然灾害,农作物绝收面积 (千公顷) ,河北,2021,68.9,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,河北,2021,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,河北,2021,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,河北,2021,211.9,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,河北,2021,51.5,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,河北,2021,156.8,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,河北,2021,15.4,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,河北,2021,20.2,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,河北,2021,2.0,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,河北,2021,328.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,河北,2021,8.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,河北,2021,102.4,亿元
自然灾害,农作物受灾面积 (千公顷) ,河北,2020,371.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,河北,2020,69.4,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,河北,2020,19.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,河北,2020,3.1,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,河北,2020,20.1,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,河北,2020,2.1,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,河北,2020,189.9,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,河北,2020,26.2,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,河北,2020,142.1,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,河北,2020,38.0,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,河北,2020,286.1,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,河北,2020,4.0,人
