数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,河南,2012,2065.74,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2012,8112.95,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2011,2061.54,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2011,8101.17,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2010,2060.75,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2010,8111.61,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2009,2046.26,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2009,8086.52,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2008,2036.58,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2008,8031.66,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2007,2032.72,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2007,8022.51,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2006,2025.1,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2006,8007.05,万人
乡村户数和乡村人口,乡村户数 (万户) ,河南,2005,2025.66,万户
乡村户数和乡村人口,乡村人口 (万人) ,河南,2005,8000.72,万人
