数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2018,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2017,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2016,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2015,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2014,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2013,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2012,670.57,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2011,633.68,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2010,540.07,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2009,546.95,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2008,528.71,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2007,453.71,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2006,480.87,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,河南,2005,366.64,公斤
