数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2024,1763.2,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2024,16042.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2024,25925.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2024,20345.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,浙江,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2023,1794.03,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2023,16301.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2023,29600.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2023,18932.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,浙江,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2022,1767.56,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2022,15839.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2022,33021.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2022,16961.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,浙江,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2021,1773.65,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2021,15351.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2021,39423.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2021,13890.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2021,14175.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,浙江,2021,78833.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2020,1813.17,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2020,15867.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2020,50451.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2020,11754.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2020,16843.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,浙江,2020,95775.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2019,1908.04,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2019,14468.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2019,56494.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2019,8397.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2019,17129.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,浙江,2019,126119.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2018,2009.33,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2018,13200.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,浙江,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,浙江,2018,102500.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,浙江,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2018,5700.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,浙江,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,浙江,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,浙江,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,浙江,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,浙江,2018,17900.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,浙江,2018,,万千瓦
