数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡镇数 (个) ,浙江,2024,,个
农村基层组织情况,乡数 (个) ,浙江,2024,,个
农村基层组织情况,镇数 (个) ,浙江,2024,,个
农村基层组织情况,村民委员会数 (个) ,浙江,2024,,个
农村基层组织情况,乡镇数 (个) ,浙江,2023,,个
农村基层组织情况,乡数 (个) ,浙江,2023,,个
农村基层组织情况,镇数 (个) ,浙江,2023,,个
农村基层组织情况,村民委员会数 (个) ,浙江,2023,,个
农村基层组织情况,乡镇数 (个) ,浙江,2022,,个
农村基层组织情况,乡数 (个) ,浙江,2022,,个
农村基层组织情况,镇数 (个) ,浙江,2022,,个
农村基层组织情况,村民委员会数 (个) ,浙江,2022,,个
农村基层组织情况,乡镇数 (个) ,浙江,2021,,个
农村基层组织情况,乡数 (个) ,浙江,2021,,个
农村基层组织情况,镇数 (个) ,浙江,2021,,个
农村基层组织情况,村民委员会数 (个) ,浙江,2021,,个
农村基层组织情况,乡镇数 (个) ,浙江,2020,,个
农村基层组织情况,乡数 (个) ,浙江,2020,,个
农村基层组织情况,镇数 (个) ,浙江,2020,,个
农村基层组织情况,村民委员会数 (个) ,浙江,2020,,个
农村基层组织情况,乡镇数 (个) ,浙江,2019,,个
农村基层组织情况,乡数 (个) ,浙江,2019,,个
农村基层组织情况,镇数 (个) ,浙江,2019,,个
农村基层组织情况,村民委员会数 (个) ,浙江,2019,,个
农村基层组织情况,乡镇数 (个) ,浙江,2018,908.0,个
农村基层组织情况,乡数 (个) ,浙江,2018,269.0,个
农村基层组织情况,镇数 (个) ,浙江,2018,639.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2018,24711.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2017,915.0,个
农村基层组织情况,乡数 (个) ,浙江,2017,274.0,个
农村基层组织情况,镇数 (个) ,浙江,2017,641.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2017,27458.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2016,929.0,个
农村基层组织情况,乡数 (个) ,浙江,2016,274.0,个
农村基层组织情况,镇数 (个) ,浙江,2016,655.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2016,27568.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2015,906.0,个
农村基层组织情况,乡数 (个) ,浙江,2015,265.0,个
农村基层组织情况,镇数 (个) ,浙江,2015,641.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2015,27901.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2014,887.0,个
农村基层组织情况,乡数 (个) ,浙江,2014,258.0,个
农村基层组织情况,镇数 (个) ,浙江,2014,629.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2014,27997.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2013,903.0,个
农村基层组织情况,乡数 (个) ,浙江,2013,264.0,个
农村基层组织情况,镇数 (个) ,浙江,2013,639.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2013,28339.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2012,929.0,个
农村基层组织情况,乡数 (个) ,浙江,2012,279.0,个
农村基层组织情况,镇数 (个) ,浙江,2012,650.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2012,28798.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2011,944.0,个
农村基层组织情况,乡数 (个) ,浙江,2011,290.0,个
农村基层组织情况,镇数 (个) ,浙江,2011,654.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2011,28812.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2010,1171.0,个
农村基层组织情况,乡数 (个) ,浙江,2010,443.0,个
农村基层组织情况,镇数 (个) ,浙江,2010,728.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2010,29303.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2009,1180.0,个
农村基层组织情况,乡数 (个) ,浙江,2009,445.0,个
农村基层组织情况,镇数 (个) ,浙江,2009,735.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2009,29958.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2008,1193.0,个
农村基层组织情况,乡数 (个) ,浙江,2008,446.0,个
农村基层组织情况,镇数 (个) ,浙江,2008,747.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2008,30068.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2007,1207.0,个
农村基层组织情况,乡数 (个) ,浙江,2007,458.0,个
农村基层组织情况,镇数 (个) ,浙江,2007,749.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2007,31060.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2006,1215.0,个
农村基层组织情况,乡数 (个) ,浙江,2006,461.0,个
农村基层组织情况,镇数 (个) ,浙江,2006,754.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2006,32976.0,个
农村基层组织情况,乡镇数 (个) ,浙江,2005,1251.0,个
农村基层组织情况,乡数 (个) ,浙江,2005,493.0,个
农村基层组织情况,镇数 (个) ,浙江,2005,758.0,个
农村基层组织情况,村民委员会数 (个) ,浙江,2005,34515.0,个
