数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2012,0.54,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2012,1.12,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2012,0.08,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2012,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2011,0.53,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2011,1.13,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2011,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2011,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2010,0.6,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2010,0.43,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2010,0.15,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2010,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2009,0.6,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2009,0.4,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2009,0.16,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2009,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2008,0.64,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2008,0.42,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2008,0.16,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2008,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2007,0.64,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2007,0.44,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2007,0.16,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2007,0.08,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2006,0.67,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2006,0.43,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2006,0.15,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2006,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,浙江,2005,0.7,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,浙江,2005,0.92,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,浙江,2005,0.13,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,浙江,2005,0.07,亩/人
