数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2021,14448.76,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2021,11590.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2020,49501.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2020,4114718.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2020,60685.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2020,71240.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2020,819774.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2019,13646.65,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2019,4103672.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2019,30055.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2019,58440.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2019,19840.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2019,1157885.3,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2018,26214.72,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2018,4099507.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2018,58897.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2018,90540.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2018,834464.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2017,36235.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2017,4054524.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2017,58416.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2017,90540.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2017,16610.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2017,850917.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2016,43255.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2016,3978018.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2016,21952.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2016,135510.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2016,58320.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2016,1222584.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2015,29266.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2015,3959191.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2015,37745.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2015,104790.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2015,11225.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2015,1156688.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,浙江,2014,123759.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,浙江,2014,3924061.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,浙江,2014,36725.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,浙江,2014,67095.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,浙江,2014,9380.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,浙江,2014,1061271.0,万千瓦时
