数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,海南,2012,300.68,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2012,157.74,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2012,142.94,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2011,292.14,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2011,152.68,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2011,139.46,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2010,284.58,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2010,148.93,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2010,135.65,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2009,281.59,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2009,146.34,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2009,135.25,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2008,274.6,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2008,141.64,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2008,132.96,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2007,269.28,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2007,138.74,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2007,130.54,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2006,262.65,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2006,135.65,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2006,126.99,万人
乡村从业人员,乡村从业人员 (万人) ,海南,2005,256.01,万人
乡村从业人员,乡村男性从业人员 (万人) ,海南,2005,132.56,万人
乡村从业人员,乡村女性从业人员 (万人) ,海南,2005,123.45,万人
