数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,海南,2012,131.58,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2012,581.02,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2011,130.79,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2011,575.2,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2010,125.27,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2010,564.71,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2009,122.3,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2009,556.87,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2008,119.02,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2008,549.28,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2007,116.23,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2007,538.81,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2006,114.41,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2006,532.2,万人
乡村户数和乡村人口,乡村户数 (万户) ,海南,2005,112.58,万户
乡村户数和乡村人口,乡村人口 (万人) ,海南,2005,525.6,万人
