数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡镇数 (个) ,海南,2024,,个
农村基层组织情况,乡数 (个) ,海南,2024,,个
农村基层组织情况,镇数 (个) ,海南,2024,,个
农村基层组织情况,村民委员会数 (个) ,海南,2024,,个
农村基层组织情况,乡镇数 (个) ,海南,2023,,个
农村基层组织情况,乡数 (个) ,海南,2023,,个
农村基层组织情况,镇数 (个) ,海南,2023,,个
农村基层组织情况,村民委员会数 (个) ,海南,2023,,个
农村基层组织情况,乡镇数 (个) ,海南,2022,,个
农村基层组织情况,乡数 (个) ,海南,2022,,个
农村基层组织情况,镇数 (个) ,海南,2022,,个
农村基层组织情况,村民委员会数 (个) ,海南,2022,,个
农村基层组织情况,乡镇数 (个) ,海南,2021,,个
农村基层组织情况,乡数 (个) ,海南,2021,,个
农村基层组织情况,镇数 (个) ,海南,2021,,个
农村基层组织情况,村民委员会数 (个) ,海南,2021,,个
农村基层组织情况,乡镇数 (个) ,海南,2020,,个
农村基层组织情况,乡数 (个) ,海南,2020,,个
农村基层组织情况,镇数 (个) ,海南,2020,,个
农村基层组织情况,村民委员会数 (个) ,海南,2020,,个
农村基层组织情况,乡镇数 (个) ,海南,2019,,个
农村基层组织情况,乡数 (个) ,海南,2019,,个
农村基层组织情况,镇数 (个) ,海南,2019,,个
农村基层组织情况,村民委员会数 (个) ,海南,2019,,个
农村基层组织情况,乡镇数 (个) ,海南,2018,196.0,个
农村基层组织情况,乡数 (个) ,海南,2018,21.0,个
农村基层组织情况,镇数 (个) ,海南,2018,175.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2018,2558.0,个
农村基层组织情况,乡镇数 (个) ,海南,2017,196.0,个
农村基层组织情况,乡数 (个) ,海南,2017,21.0,个
农村基层组织情况,镇数 (个) ,海南,2017,175.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2017,2562.0,个
农村基层组织情况,乡镇数 (个) ,海南,2016,196.0,个
农村基层组织情况,乡数 (个) ,海南,2016,21.0,个
农村基层组织情况,镇数 (个) ,海南,2016,175.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2016,2552.0,个
农村基层组织情况,乡镇数 (个) ,海南,2015,196.0,个
农村基层组织情况,乡数 (个) ,海南,2015,21.0,个
农村基层组织情况,镇数 (个) ,海南,2015,175.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2015,2561.0,个
农村基层组织情况,乡镇数 (个) ,海南,2014,197.0,个
农村基层组织情况,乡数 (个) ,海南,2014,21.0,个
农村基层组织情况,镇数 (个) ,海南,2014,176.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2014,2561.0,个
农村基层组织情况,乡镇数 (个) ,海南,2013,203.0,个
农村基层组织情况,乡数 (个) ,海南,2013,21.0,个
农村基层组织情况,镇数 (个) ,海南,2013,182.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2013,2570.0,个
农村基层组织情况,乡镇数 (个) ,海南,2012,204.0,个
农村基层组织情况,乡数 (个) ,海南,2012,21.0,个
农村基层组织情况,镇数 (个) ,海南,2012,183.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2012,2568.0,个
农村基层组织情况,乡镇数 (个) ,海南,2011,204.0,个
农村基层组织情况,乡数 (个) ,海南,2011,21.0,个
农村基层组织情况,镇数 (个) ,海南,2011,183.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2011,2567.0,个
农村基层组织情况,乡镇数 (个) ,海南,2010,204.0,个
农村基层组织情况,乡数 (个) ,海南,2010,21.0,个
农村基层组织情况,镇数 (个) ,海南,2010,183.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2010,2567.0,个
农村基层组织情况,乡镇数 (个) ,海南,2009,204.0,个
农村基层组织情况,乡数 (个) ,海南,2009,21.0,个
农村基层组织情况,镇数 (个) ,海南,2009,183.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2009,2556.0,个
农村基层组织情况,乡镇数 (个) ,海南,2008,204.0,个
农村基层组织情况,乡数 (个) ,海南,2008,21.0,个
农村基层组织情况,镇数 (个) ,海南,2008,183.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2008,2554.0,个
农村基层组织情况,乡镇数 (个) ,海南,2007,203.0,个
农村基层组织情况,乡数 (个) ,海南,2007,21.0,个
农村基层组织情况,镇数 (个) ,海南,2007,182.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2007,2620.0,个
农村基层组织情况,乡镇数 (个) ,海南,2006,202.0,个
农村基层组织情况,乡数 (个) ,海南,2006,21.0,个
农村基层组织情况,镇数 (个) ,海南,2006,181.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2006,2618.0,个
农村基层组织情况,乡镇数 (个) ,海南,2005,200.0,个
农村基层组织情况,乡数 (个) ,海南,2005,20.0,个
农村基层组织情况,镇数 (个) ,海南,2005,180.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2005,2615.0,个
