数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,海南,2024,356.2,千公顷
自然灾害,农作物绝收面积 (千公顷) ,海南,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,海南,2024,0.0,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,海南,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,海南,2024,0.0,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,海南,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,海南,2024,0.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,海南,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,海南,2024,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,海南,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,海南,2024,609.7,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,海南,2024,25.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2024,651.7,亿元
自然灾害,农作物受灾面积 (千公顷) ,海南,2023,1.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,海南,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,海南,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,海南,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,海南,2023,0.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,海南,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,海南,2023,,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,海南,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,海南,2023,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,海南,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,海南,2023,9.9,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,海南,2023,,人
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2023,0.6,亿元
自然灾害,农作物受灾面积 (千公顷) ,海南,2022,3.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,海南,2022,0.6,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,海南,2022,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,海南,2022,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,海南,2022,3.5,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,海南,2022,0.6,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,海南,2022,,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,海南,2022,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,海南,2022,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,海南,2022,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,海南,2022,9.8,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,海南,2022,4.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,海南,2022,2.7,亿元
自然灾害,农作物受灾面积 (千公顷) ,海南,2021,31.9,千公顷
自然灾害,农作物绝收面积 (千公顷) ,海南,2021,3.0,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,海南,2021,0.6,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,海南,2021,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,海南,2021,31.3,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,海南,2021,3.0,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,海南,2021,,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,海南,2021,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,海南,2021,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,海南,2021,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,海南,2021,36.8,万人次
