数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2024,5021.46,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2024,213490.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2024,915767.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2024,228286.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2023,4975.49,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2023,207499.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2023,1012793.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2023,220632.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2022,4878.65,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2022,199110.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2022,1059741.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2022,207950.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2021,4731.46,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2021,189293.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2021,1109309.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2021,202376.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2021,112531.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2021,459076.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2020,4626.07,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2020,181723.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2020,1125819.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2020,193489.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2020,109080.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2020,455656.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2019,4515.73,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2019,172217.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2019,1149387.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2019,183370.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2019,106069.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2019,448235.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2018,4424.61,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2018,161732.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2018,1164900.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2018,184000.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2018,102000.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2018,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2018,406000.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2017,4335.09,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2017,189700.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2017,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2017,1151200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2017,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2017,405500.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2017,2231000.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2017,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,湖北,2017,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,湖北,2017,255400.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,湖北,2017,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,湖北,2017,99400.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,湖北,2017,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,湖北,2017,369500.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2016,4187.75,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2016,181800.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,湖北,2016,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,湖北,2016,1146700.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,湖北,2016,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,湖北,2016,395400.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,湖北,2016,2234100.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,湖北,2016,759500.0,台
