数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,湖北,2012,2259.91,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2012,1208.63,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2012,1051.28,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2011,2203.02,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2011,1177.3,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2011,1025.72,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2010,2154.44,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2010,1154.45,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2010,999.99,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2009,2123.29,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2009,1139.68,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2009,983.61,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2008,2078.77,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2008,1105.78,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2008,972.99,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2007,2030.61,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2007,1078.38,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2007,952.23,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2006,1967.12,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2006,1045.36,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2006,921.76,万人
乡村从业人员,乡村从业人员 (万人) ,湖北,2005,1932.76,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖北,2005,1027.33,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖北,2005,905.43,万人
