数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2012,1.71,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2012,1.41,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2012,0.11,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2012,0.26,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2011,1.62,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2011,1.23,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2011,0.11,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2011,0.31,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2010,1.69,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2010,0.67,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2010,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2010,0.13,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2009,1.63,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2009,0.67,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2009,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2009,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2008,1.59,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2008,0.62,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2008,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2008,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2007,1.6,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2007,0.61,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2007,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2007,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2006,1.52,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2006,0.55,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2006,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2006,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,湖北,2005,1.53,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,湖北,2005,0.5,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,湖北,2005,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,湖北,2005,0.09,亩/人
