数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2024,6448.44,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,湖南,2024,6651.61,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,湖南,2024,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2023,6440.69,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,湖南,2023,6642.24,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,湖南,2023,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2022,6333.03,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,湖南,2022,4049.18,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2022,6485.57,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,湖南,2022,6541.36,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,湖南,2022,6653.49,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,湖南,2022,6112.45,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,湖南,2022,7451.13,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,湖南,2022,6240.38,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,湖南,2022,3391.42,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,湖南,2022,3391.42,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,湖南,2022,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,湖南,2022,5734.16,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,湖南,2022,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,湖南,2022,4271.63,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2022,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,湖南,2022,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,湖南,2022,2537.8,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,湖南,2022,2560.18,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,湖南,2022,2067.74,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,湖南,2022,1965.81,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,湖南,2022,4928.94,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,湖南,2022,4866.38,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2021,6460.95,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,湖南,2021,3965.93,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2021,6672.9,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,湖南,2021,6646.74,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,湖南,2021,6756.57,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,湖南,2021,6098.72,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,湖南,2021,7586.53,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,湖南,2021,6422.23,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,湖南,2021,3330.48,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,湖南,2021,3330.48,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,湖南,2021,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,湖南,2021,5888.08,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,湖南,2021,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,湖南,2021,4358.97,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2021,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,湖南,2021,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,湖南,2021,2640.59,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,湖南,2021,2702.04,公斤/公顷
