数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,湖南,2012,3197.33,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2012,1737.89,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2012,1459.44,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2011,3168.85,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2011,1726.11,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2011,1442.74,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2010,3129.39,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2010,1707.2,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2010,1422.19,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2009,3092.04,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2009,1686.82,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2009,1405.22,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2008,3049.17,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2008,1657.66,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2008,1391.51,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2007,3027.7,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2007,1652.24,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2007,1375.46,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2006,3001.55,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2006,1635.9,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2006,1365.65,万人
乡村从业人员,乡村从业人员 (万人) ,湖南,2005,2975.39,万人
乡村从业人员,乡村男性从业人员 (万人) ,湖南,2005,1619.56,万人
乡村从业人员,乡村女性从业人员 (万人) ,湖南,2005,1355.83,万人
