数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2024,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2023,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2022,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2021,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2020,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2019,44.8,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2018,44.56,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2017,44.16,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2016,43.69,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2015,43.64,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2014,42.59,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2013,41.73,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2012,40.61,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2011,39.5,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2010,37.78,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2009,37.48,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2008,35.65,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2007,33.54,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2006,33.09,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖南,2005,32.64,万吨
