数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,甘肃,2024,2769.96,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,甘肃,2024,177209.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,甘肃,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,甘肃,2024,701907.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,甘肃,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,甘肃,2024,125004.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,甘肃,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,甘肃,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,甘肃,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,甘肃,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,甘肃,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,甘肃,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,甘肃,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,甘肃,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,甘肃,2023,2638.66,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,甘肃,2023,156858.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,甘肃,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,甘肃,2023,718588.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,甘肃,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,甘肃,2023,110463.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,甘肃,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,甘肃,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,甘肃,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,甘肃,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,甘肃,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,甘肃,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,甘肃,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,甘肃,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,甘肃,2022,2516.66,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,甘肃,2022,142681.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,甘肃,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,甘肃,2022,723044.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,甘肃,2022,,万千瓦
