数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2024,1977.88,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2024,105.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2023,2001.64,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2023,105.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2022,1806.43,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2022,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2021,1623.21,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2021,106.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2020,1423.85,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2020,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2019,1306.41,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2019,106.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2018,1166.1,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2018,105.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2017,1068.61,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2017,105.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2016,985.73,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2016,104.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2015,951.15,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2015,105.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2014,897.79,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2014,104.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2013,853.79,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2013,104.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2012,772.98,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2012,107.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2011,688.56,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2011,106.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2010,628.88,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2010,106.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2009,550.56,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2009,105.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2008,503.73,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2008,108.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2007,458.73,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2007,104.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2006,395.84,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2006,103.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,甘肃,2005,362.89,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,甘肃,2005,107.0,无
