数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,福建,2012,1423.59,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2012,764.28,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2012,659.3,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2011,1417.67,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2011,760.19,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2011,657.47,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2010,1395.81,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2010,752.57,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2010,643.23,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2009,1375.33,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2009,742.18,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2009,633.15,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2008,1357.76,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2008,731.01,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2008,626.75,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2007,1325.61,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2007,712.5,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2007,613.11,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2006,1319.31,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2006,710.33,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2006,608.98,万人
乡村从业人员,乡村从业人员 (万人) ,福建,2005,1313.01,万人
乡村从业人员,乡村男性从业人员 (万人) ,福建,2005,708.16,万人
乡村从业人员,乡村女性从业人员 (万人) ,福建,2005,604.85,万人
