数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,福建,2012,733.69,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2012,2739.03,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2011,724.44,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2011,2717.3,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2010,712.34,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2010,2692.09,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2009,704.29,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2009,2687.53,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2008,696.38,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2008,2670.88,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2007,681.08,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2007,2647.45,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2006,681.66,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2006,2657.24,万人
乡村户数和乡村人口,乡村户数 (万户) ,福建,2005,682.23,万户
乡村户数和乡村人口,乡村人口 (万人) ,福建,2005,2667.03,万人
