数据集名称,指标名称,地区,年份,数值,单位
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2024,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2023,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2022,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2021,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2020,103.3,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2020,101.1,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2020,104.2,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2020,98.5,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2020,100.2,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2020,98.4,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2020,88.1,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2020,100.3,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2020,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2020,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2020,101.0,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2019,102.2,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2019,105.8,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2019,100.5,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2019,97.7,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2019,100.8,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2019,98.2,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2019,91.9,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2019,100.1,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2019,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2019,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2019,101.9,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2018,103.1,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2018,101.6,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2018,102.7,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2018,100.0,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,福建,2018,99.9,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,福建,2018,107.1,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,福建,2018,110.6,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,福建,2018,100.7,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,福建,2018,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,福建,2018,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,福建,2018,100.6,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,福建,2017,100.0,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,福建,2017,99.7,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,福建,2017,99.8,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,福建,2017,99.2,无
