数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2021,4600.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2021,18000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2020,150.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2020,7298777.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2020,18655.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2020,12000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2020,1642428.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2019,2804.47,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2019,7349542.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2019,45192.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2019,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2019,2463828.51,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2018,9690.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2018,7390664.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2018,52476.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2018,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2018,1861904.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2017,44724.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2017,7417445.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2017,25295.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2017,30000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2017,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2017,2330107.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2016,45744.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2016,7406086.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2016,31890.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2016,30000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2016,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2016,3512294.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2015,48809.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2015,7381901.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2015,61350.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2015,30000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2015,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2015,2503915.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2014,43476.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2014,7341376.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2014,48640.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2014,36570.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2014,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2014,2426558.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2013,70527.6,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2013,7315815.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2013,22235.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2013,36570.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2013,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2013,2506563.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2012,9669.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2012,7261407.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2012,19080.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2012,33850.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2012,800.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2012,2824686.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2011,19195.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2011,7038769.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2011,22415.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2011,39400.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2011,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2011,1882212.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2010,35853.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2010,6994576.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2010,170597.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2010,96250.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2010,5580.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2010,2895218.69,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2009,58401.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2009,6846790.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2009,196993.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2009,309470.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2009,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2009,1718042.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2008,145105.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2008,6695774.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2008,382570.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2008,515760.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2008,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2008,2071339.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2007,310237.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2007,6681382.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2007,564399.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2007,685245.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2007,23960.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2007,2086201.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2006,467214.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2006,6147238.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2006,873332.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2006,1301850.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2006,138069.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2006,2170267.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,福建,2005,644521.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,福建,2005,5337924.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,福建,2005,679061.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,福建,2005,1307796.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,福建,2005,327705.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,福建,2005,1756630.0,万千瓦时
