数据集名称,指标名称,地区,年份,数值,单位
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2024,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2023,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2022,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2021,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2020,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2019,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2018,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2017,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2016,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2015,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2014,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2013,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2012,1067.44,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2011,1081.58,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2010,1059.02,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2009,1056.14,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2008,1024.05,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2007,975.31,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2006,932.8,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,福建,2005,1010.92,公斤/人
