数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,福建,2024,106.6,千公顷
自然灾害,农作物绝收面积 (千公顷) ,福建,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,福建,2024,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,福建,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,福建,2024,66.2,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,福建,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,福建,2024,4.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,福建,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,福建,2024,25.9,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,福建,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,福建,2024,214.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,福建,2024,33.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,福建,2024,174.0,亿元
自然灾害,农作物受灾面积 (千公顷) ,福建,2023,83.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,福建,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,福建,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,福建,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,福建,2023,18.7,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,福建,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,福建,2023,6.2,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,福建,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,福建,2023,0.8,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,福建,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,福建,2023,561.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,福建,2023,12.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,福建,2023,301.2,亿元
自然灾害,农作物受灾面积 (千公顷) ,福建,2022,105.9,千公顷
自然灾害,农作物绝收面积 (千公顷) ,福建,2022,11.0,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,福建,2022,26.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,福建,2022,2.3,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,福建,2022,60.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,福建,2022,6.5,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,福建,2022,5.3,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,福建,2022,1.4,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,福建,2022,14.1,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,福建,2022,0.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,福建,2022,138.7,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,福建,2022,13.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,福建,2022,180.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,福建,2021,47.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,福建,2021,5.6,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,福建,2021,1.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,福建,2021,0.1,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,福建,2021,30.2,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,福建,2021,3.8,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,福建,2021,1.9,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,福建,2021,0.2,千公顷
