数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2024,698.52,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2024,89019.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,西藏,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,西藏,2024,220876.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,西藏,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,西藏,2024,1451.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,西藏,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,西藏,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,西藏,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,西藏,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,西藏,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,西藏,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,西藏,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2023,654.04,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2023,85352.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,西藏,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,西藏,2023,214071.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,西藏,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,西藏,2023,1291.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,西藏,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,西藏,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,西藏,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,西藏,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,西藏,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,西藏,2023,,万千瓦
