数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2021,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2021,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2020,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2020,421714.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2020,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2020,42000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2020,107191.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2019,8276.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2019,423619.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2019,48000.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2019,47310.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2019,42000.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2019,87382.68,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2018,18970.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2018,375619.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2018,6330.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2018,53310.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2018,86225.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2017,40647.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2017,369289.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2017,4220.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2017,56440.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2017,3200.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2017,85774.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2016,59284.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2016,365069.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2016,46960.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2016,56640.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2016,49690.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2016,85050.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2015,83875.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2015,318109.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2015,4690.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2015,53910.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2015,4020.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2015,85976.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2014,85505.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,西藏,2014,313419.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,西藏,2014,11700.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,西藏,2014,54600.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,西藏,2014,4000.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,西藏,2014,85386.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,西藏,2013,47908.0,万元
