数据集名称,指标名称,地区,年份,数值,单位
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2024,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2023,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2022,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2021,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2020,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2019,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2018,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2017,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2016,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2015,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2014,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2013,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2012,1031.69,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2011,1021.91,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2010,998.08,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2009,1008.86,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2008,1080.19,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2007,1077.18,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2006,1073.26,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,西藏,2005,1094.19,公斤/人
