数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,西藏,2024,151.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2024,44.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2024,5.42,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2024,1080.35,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2023,145.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2023,44.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2023,5.42,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2023,990.58,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2022,143.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2022,44.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2022,5.42,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2022,898.47,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2021,150.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2021,44.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2021,4.1,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2021,804.18,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2020,149.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2020,41.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2020,3.98,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2020,711.91,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2019,122.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2019,38.62,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2019,3.39,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2019,622.55,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2018,116.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2018,38.43,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2018,3.39,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2018,528.5,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2017,117.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2017,38.43,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2017,2.47,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2017,419.11,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2016,110.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2016,34.01,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,西藏,2016,336.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,西藏,2016,323.27,千公顷
水利设施和除涝面积,水库数 (座) ,西藏,2015,105.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,西藏,2015,29.09,亿立方米
