数据集名称,指标名称,地区,年份,数值,单位
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2024,103.7,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2024,100.0,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,贵州,2024,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,贵州,2024,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,贵州,2024,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,贵州,2024,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,贵州,2024,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2023,95.1,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2023,98.8,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,贵州,2023,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,贵州,2023,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,贵州,2023,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,贵州,2023,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,贵州,2023,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2022,95.9,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2022,103.1,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,贵州,2022,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,贵州,2022,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,贵州,2022,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,贵州,2022,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,贵州,2022,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2021,86.4,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2021,106.1,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,贵州,2021,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,贵州,2021,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,贵州,2021,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,贵州,2021,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,贵州,2021,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2020,122.6,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2020,103.5,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,贵州,2020,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,贵州,2020,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,贵州,2020,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,贵州,2020,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,贵州,2020,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2019,116.2,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2019,103.3,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2019,104.0,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2019,104.1,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2019,104.8,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2019,103.0,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,贵州,2019,104.8,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,贵州,2019,104.8,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,贵州,2019,100.3,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,贵州,2019,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,贵州,2019,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,贵州,2019,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,贵州,2019,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,贵州,2019,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,贵州,2018,92.6,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,贵州,2018,101.5,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,贵州,2018,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,贵州,2018,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,贵州,2018,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,贵州,2018,,无
