数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2024,2940.99,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2024,257337.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2024,349760.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2024,189169.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2023,2823.85,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2023,244976.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2023,354041.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2023,184403.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2022,2657.84,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2022,219986.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2022,375710.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2022,179578.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2021,2552.6,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2021,205266.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2021,385334.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2021,174148.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2021,36418.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2021,131610.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2020,2471.26,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2020,191889.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2020,394466.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2020,169343.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2020,34832.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2020,131795.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2019,2353.89,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2019,176753.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2019,402153.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2019,165309.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2019,32928.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2019,134073.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2018,2243.72,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2018,169990.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2018,407700.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2018,159700.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,辽宁,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,辽宁,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,辽宁,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,辽宁,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,辽宁,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,辽宁,2018,30800.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,辽宁,2018,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,辽宁,2018,138900.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2017,2215.14,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2017,250700.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,辽宁,2017,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,辽宁,2017,319500.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,辽宁,2017,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,辽宁,2017,336300.0,部
