数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,辽宁,2012,1217.79,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2012,665.41,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2012,552.37,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2011,1223.08,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2011,669.6,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2011,553.47,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2010,1208.49,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2010,666.79,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2010,541.7,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2009,1180.54,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2009,652.19,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2009,528.35,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2008,1164.68,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2008,644.16,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2008,520.52,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2007,1153.62,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2007,638.07,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2007,515.55,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2006,1132.89,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2006,629.26,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2006,503.63,万人
乡村从业人员,乡村从业人员 (万人) ,辽宁,2005,1113.53,万人
乡村从业人员,乡村男性从业人员 (万人) ,辽宁,2005,618.53,万人
乡村从业人员,乡村女性从业人员 (万人) ,辽宁,2005,495.0,万人
