数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2012,720.08,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2012,2310.46,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2011,722.51,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2011,2322.9,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2010,722.93,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2010,2328.17,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2009,710.65,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2009,2327.61,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2008,703.79,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2008,2320.36,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2007,701.13,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2007,2323.47,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2006,689.23,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2006,2289.32,万人
乡村户数和乡村人口,乡村户数 (万户) ,辽宁,2005,695.59,万户
乡村户数和乡村人口,乡村人口 (万人) ,辽宁,2005,2331.36,万人
