数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2012,724.14,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2012,2303.09,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2011,721.14,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2011,2324.5,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2010,727.77,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2010,2366.66,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2009,731.05,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2009,2400.85,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2008,724.06,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2008,2405.64,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2007,717.49,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2007,2413.95,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2006,714.86,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2006,2418.4,万人
乡村户数和乡村人口,乡村户数 (万户) ,重庆,2005,718.84,万户
乡村户数和乡村人口,乡村人口 (万人) ,重庆,2005,2430.93,万人
