数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2021,27098.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2021,187940.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2021,1200.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2020,22472.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2020,3019753.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2020,111875.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2020,246890.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2020,41200.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2020,870557.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2019,33448.64,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2019,2971108.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2019,89020.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2019,281780.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2019,58100.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2019,721821.99,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2018,54990.65,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2018,2874133.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2018,146540.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2018,304140.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2018,46230.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2018,725152.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2017,97129.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2017,2672353.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2017,108139.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2017,360540.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2017,28700.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2017,792445.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2016,108127.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2016,2547104.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2016,107315.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2016,332630.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2016,22275.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2016,727992.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2015,186751.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2015,2435364.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2015,179580.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2015,443470.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2015,55570.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2015,681142.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2014,93288.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2014,2255419.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2014,54365.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2014,531830.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2014,13230.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2014,688512.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2013,156693.92,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2013,2204009.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2013,125435.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2013,584630.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2013,50060.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2013,494747.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2012,266820.25,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2012,2007619.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2012,440420.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2012,390152.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2012,59350.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2012,541896.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2011,162169.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2011,1778214.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2011,103440.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2011,640305.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2011,61455.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2011,495646.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2010,249933.45,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2010,1671691.1,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2010,202180.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2010,671430.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2010,37275.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2010,588136.35,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2009,225736.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2009,1381190.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2009,55649.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2009,698165.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2009,91085.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2009,452907.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2008,177845.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2008,1253678.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2008,90057.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2008,844805.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2008,134610.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2008,454400.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2007,284528.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2007,1376361.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2007,181265.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2007,443690.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2007,222470.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2007,453948.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2006,203574.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2006,1203796.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2006,84938.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2006,865870.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2006,236237.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2006,389599.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,重庆,2005,150704.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,重庆,2005,1281367.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,重庆,2005,93858.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,重庆,2005,434681.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,重庆,2005,277356.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,重庆,2005,510816.0,万千瓦时
