数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2024,2116.3,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2024,104.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2023,1978.04,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2023,104.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2022,1881.78,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2022,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2021,1759.89,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2021,104.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2020,1596.13,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2020,105.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2019,1397.49,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2019,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2018,1292.68,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2018,102.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2017,1165.69,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2017,104.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2016,1123.83,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2016,104.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2015,963.03,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2015,104.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2014,906.43,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2014,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2013,855.5,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2013,104.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2012,801.18,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2012,105.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2011,717.28,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2011,105.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2010,600.03,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2010,106.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2009,517.76,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2009,106.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2008,464.0,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2008,107.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2007,405.15,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2007,114.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2006,323.01,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2006,94.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,重庆,2005,358.3,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,重庆,2005,103.9,无
