数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,重庆,2024,3083.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2024,139.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2024,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2024,4538.95,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2023,3085.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2023,130.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2023,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2023,4322.36,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2022,3079.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2022,128.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2022,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2022,4109.04,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2021,3101.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2021,128.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2021,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2021,3947.31,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2020,3089.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2020,128.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2020,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2020,3856.0,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2019,3083.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2019,126.65,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2019,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2019,3722.49,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2018,3076.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2018,126.15,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2018,0.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2018,3580.06,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2017,3057.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2017,125.52,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2017,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2017,3397.39,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2016,3042.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2016,121.41,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2016,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2016,3233.87,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2015,3003.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2015,120.14,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2015,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2015,3069.96,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2014,2994.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2014,117.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2014,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2014,2908.69,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2013,2982.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2013,116.75,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2013,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2013,2576.14,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2012,2907.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2012,81.07,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2012,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2012,2439.97,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2011,2852.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2011,79.07,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2011,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2011,2376.69,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2010,2840.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2010,74.1,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2010,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2010,2312.3,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2009,2831.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2009,55.69,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2009,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2009,2266.5,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2008,2825.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2008,56.59,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2008,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2008,2143.31,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2007,2812.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2007,54.23,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2007,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2007,2027.49,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2006,2801.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2006,53.74,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2006,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2006,1944.02,千公顷
水利设施和除涝面积,水库数 (座) ,重庆,2005,2752.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,重庆,2005,48.76,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,重庆,2005,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,重庆,2005,1886.45,千公顷
