数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2024,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2023,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2022,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2021,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2020,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2019,93.8,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2018,92.58,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2017,93.43,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2016,92.77,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2015,92.32,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2014,91.21,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2013,91.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2012,82.16,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2011,79.97,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2010,70.36,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2009,77.59,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2008,47.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2007,52.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2006,48.83,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,陕西,2005,48.74,万吨
