数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,青海,2012,91.75,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2012,385.17,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2011,89.97,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2011,381.0,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2010,87.49,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2010,378.2,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2009,85.77,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2009,374.78,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2008,82.85,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2008,367.01,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2007,80.19,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2007,359.48,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2006,77.82,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2006,353.3,万人
乡村户数和乡村人口,乡村户数 (万户) ,青海,2005,77.6,万户
乡村户数和乡村人口,乡村人口 (万人) ,青海,2005,357.33,万人
