数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2021,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2021,12000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2020,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2020,1084235.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2020,3000.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2020,4500.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2020,563671.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2019,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2019,1097135.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2019,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2019,75000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2019,536366.1,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2018,230.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2018,1097135.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2018,440.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,青海,2018,75000.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,青海,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,青海,2018,521638.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,青海,2017,11107.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,青海,2017,1096695.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,青海,2017,11780.0,千瓦
