数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,青海,2024,200.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2024,385.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2024,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2024,2261.27,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2023,206.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2023,367.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2023,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2023,2077.09,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2022,197.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2022,347.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2022,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2022,1865.57,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2021,203.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2021,372.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2021,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2021,1702.2,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2020,211.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2020,370.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2020,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2020,1607.76,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2019,198.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2019,316.59,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2019,0.8,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2019,1408.13,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2018,207.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2018,316.61,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2018,0.8,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2018,1251.66,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2017,206.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2017,316.5,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2017,0.8,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2017,1134.06,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2016,200.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2016,319.98,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2016,0.8,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2016,1014.42,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2015,203.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2015,318.78,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2015,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2015,898.7,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2014,200.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2014,316.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2014,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2014,863.32,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2013,199.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2013,316.39,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2013,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2013,794.41,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2012,158.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2012,341.97,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2012,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2012,856.5,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2011,157.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2011,341.94,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2011,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2011,840.82,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2010,157.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2010,341.9,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2010,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2010,825.5,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2009,157.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2009,341.94,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2009,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2009,812.31,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2008,157.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2008,341.94,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2008,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2008,798.64,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2007,154.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2007,299.87,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2007,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2007,779.02,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2006,154.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2006,299.6,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2006,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2006,767.62,千公顷
水利设施和除涝面积,水库数 (座) ,青海,2005,152.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,青海,2005,299.03,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,青海,2005,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,青海,2005,744.25,千公顷
