数据集名称,指标名称,地区,年份,数值,单位
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2024,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2023,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2022,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2021,61008.71,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2020,70501.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2019,71830.7,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2018,77431.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2017,79770.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2016,82575.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2015,83097.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2014,84424.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2013,85378.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2012,84590.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2011,75589.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2010,69377.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2009,64567.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2008,65606.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2007,63612.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2006,60025.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,黑龙江,2005,56565.0,吨
