数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2024,98.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2024,84.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2024,14.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2024,21.4,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2024,,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2024,17.9,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2023,410.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2023,396.1,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2023,14.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2023,74.9,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2023,25.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2023,146.5,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2022,97.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2022,28.9,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2022,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2022,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2022,52.9,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2022,22.9,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2022,44.5,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2022,6.0,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2022,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2022,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2022,18.1,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2022,9.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2022,6.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2021,831.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2021,176.8,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2021,320.7,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2021,27.1,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2021,408.1,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2021,145.0,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2021,102.0,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2021,4.6,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2021,0.8,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2021,0.0,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2021,101.4,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2021,2.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2021,57.2,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2020,3178.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2020,212.4,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2020,76.0,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2020,5.4,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2020,2960.7,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2020,193.4,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2020,137.4,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2020,13.3,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2020,4.4,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2020,0.3,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2020,528.6,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2020,10.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2020,147.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2019,3540.7,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2019,737.5,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2019,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2019,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2019,3279.7,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2019,723.9,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2019,223.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2019,13.6,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2019,37.4,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2019,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2019,397.6,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2019,2.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2019,221.4,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2018,4155.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,黑龙江,2018,275.7,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,黑龙江,2018,2294.0,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,黑龙江,2018,14.5,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,黑龙江,2018,1090.2,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,黑龙江,2018,227.2,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,黑龙江,2018,384.5,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,黑龙江,2018,18.0,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,黑龙江,2018,386.3,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,黑龙江,2018,16.0,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,黑龙江,2018,362.3,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,黑龙江,2018,4.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,黑龙江,2018,87.5,亿元
自然灾害,农作物受灾面积 (千公顷) ,黑龙江,2017,1550.5,千公顷
