数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2024,129.5,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2024,4899.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2024,1676.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2024,1669.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2023,123.94,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2023,4528.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2023,1769.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2023,1581.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2022,121.14,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2022,4348.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2022,1816.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2022,1398.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2021,121.25,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2021,4163.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2021,1855.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2021,1176.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2021,734.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2021,3628.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2020,120.22,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2020,4130.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2020,2007.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2020,1171.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2020,766.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2020,3696.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2019,122.84,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2019,4314.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2019,2124.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2019,1300.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2019,975.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2019,3742.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2018,125.65,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2018,4700.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2018,2200.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2018,1600.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2018,1100.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2018,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2018,3800.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2017,133.51,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2017,6900.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2017,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2017,1400.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2017,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2017,9000.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2017,2800.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2017,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2017,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2017,1900.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2017,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2017,1300.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2017,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2017,3900.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2016,144.45,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2016,7300.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2016,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2016,1300.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2016,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2016,10200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2016,2200.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2016,34000.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2016,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2016,2000.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2016,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2016,1500.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2016,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2016,3800.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2015,186.05,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2015,7000.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2015,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2015,1400.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2015,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2015,10400.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2015,1900.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2015,36900.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2015,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2015,2600.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2015,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2015,1500.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2015,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2015,3900.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2014,195.76,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2014,6600.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2014,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2014,2000.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2014,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2014,11400.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2014,2100.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2014,37400.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2014,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2014,2600.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2014,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2014,1800.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2014,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2014,3900.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2013,207.72,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2013,6500.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2013,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2013,2400.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2013,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2013,11600.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2013,2800.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2013,37700.0,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,北京,2013,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,北京,2013,2000.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,北京,2013,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,北京,2013,1900.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,北京,2013,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,北京,2013,4100.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2012,241.1,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2012,7400.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,北京,2012,30.75,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2012,7300.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,北京,2012,8.16,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2012,13500.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,北京,2012,7200.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2012,39200.0,台
