数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2024,139.61,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2024,103.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2023,135.6,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2023,104.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2022,129.77,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2022,102.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2021,122.98,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2021,111.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2020,107.57,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2020,105.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2019,102.33,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2019,89.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2018,114.75,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2018,81.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2017,129.83,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2017,88.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2016,145.2,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2016,95.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2015,154.48,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2015,102.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2014,155.1,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2014,91.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2013,170.41,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2013,97.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2012,166.29,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2012,94.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2011,163.37,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2011,103.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2010,154.22,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2010,95.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2009,146.13,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2009,103.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2008,128.1,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2008,103.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2007,115.48,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2007,103.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2006,104.47,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2006,107.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2005,100.59,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2005,102.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2024,290.77,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2024,105.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2023,269.39,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2023,96.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2022,276.8,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2022,106.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2021,258.39,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2021,101.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2020,228.76,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2020,104.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2019,202.91,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2019,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2018,197.21,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2018,99.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2017,183.17,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2017,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2016,181.89,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2016,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2015,182.51,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2015,104.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2014,182.23,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2014,103.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2013,176.63,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2013,104.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2012,164.19,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2012,101.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2011,155.2,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2011,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2010,149.52,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2010,104.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2009,127.86,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2009,104.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2008,120.35,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2008,103.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2007,114.18,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2007,102.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2006,110.05,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2006,104.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,天津,2005,97.49,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,天津,2005,100.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2024,4166.75,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2024,104.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2023,4081.04,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2023,101.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2022,4035.67,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2022,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2021,3645.02,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2021,103.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2020,3413.34,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2020,104.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2019,3114.86,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2019,101.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2018,3085.86,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2018,102.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2017,2890.6,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2017,104.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2016,2772.86,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2016,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2015,2820.11,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2015,102.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2014,2893.29,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2014,103.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2013,2975.01,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2013,104.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2012,2710.55,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2012,103.6,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2011,2484.67,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2011,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2010,2470.11,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2010,103.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2009,1927.78,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2009,103.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2008,1760.75,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2008,103.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,河北,2007,1639.07,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,河北,2007,104.2,无
