数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2024,26.38,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2023,21.87,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2022,20.74,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2021,17.25,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2020,13.94,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2019,13.13,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2018,15.57,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2017,18.93,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2016,24.29,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2015,28.98,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2014,29.97,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2013,45.95,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2012,55.66,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2011,61.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2010,60.54,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2009,68.72,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2008,72.79,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2007,62.29,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2006,70.0,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,北京,2005,61.91,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2024,198.39,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2023,187.55,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2022,187.29,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2021,181.06,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2020,164.63,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2019,161.31,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2018,150.15,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2017,136.12,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,天津,2016,128.92,公斤
