数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2005,1245.6,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2006,1187.03,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2007,1118.23,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2008,1269.71,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2009,1339.54,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2010,1386.23,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2011,1517.95,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2012,1933.84,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2013,1561.22,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2014,1389.41,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2015,1666.57,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2016,1401.95,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2017,1499.07,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2018,1524.85,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2019,1672.6574809805606,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2020,1704.8099070160606,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2021,1736.9623330515678,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2022,1769.1147590870678,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2023,1801.267185122575,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,内蒙古,2024,1833.419611158075,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2005,3800.43,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2006,3659.96,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2007,3505.12,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2008,3967.48,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2009,3771.83,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2010,4009.99,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2011,4304.06,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2012,4473.86,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2013,4910.35,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2014,4871.57,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2015,5003.95,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2016,4796.54,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2017,4799.56,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2018,5233.23,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2019,5349.75,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2020,5362.23,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2021,5578.32,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2022,5610.94,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2023,5873.851870434475,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,内蒙古,2024,6006.718324632268,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2005,3800.43,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2006,3659.96,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2007,3505.12,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2008,3967.48,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2009,3771.83,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2010,4009.99,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2011,4304.06,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2012,4473.86,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2013,4910.35,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2014,4871.57,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2015,5003.95,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2016,4796.54,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2017,4799.56,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2018,5233.23,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2019,5349.75,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2020,5362.23,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2021,5578.32,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2022,5610.94,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2023,5666.42,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,内蒙古,2024,5847.92,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,内蒙古,2005,2777.18,公斤/公顷
