数据集名称,指标名称,地区,年份,数值,单位
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2005,10916.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2006,10919.69,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2007,14615.3,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2008,14199.3,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2009,13054.68,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2010,13539.1,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2011,13268.39,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2012,12549.15,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2013,12356.47,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2014,10902.9,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2015,10401.5,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2016,9866.9,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2017,8972.6,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2018,8243.3,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2019,7698.88,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2020,7561.64,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2021,7174.4,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2022,7218.369476102991,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2023,6803.15431985294,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,北京,2024,6387.939163602889,吨
