数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2005,518.13,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2006,586.5,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2007,627.08,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2008,715.78,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2009,726.02,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2010,791.33,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2011,910.43,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2012,1017.33,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2013,1075.44,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2014,1118.55,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2015,1114.7,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2016,948.98,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2017,895.83,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2018,992.96,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2019,1014.12,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2020,1231.84,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2021,1302.91,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2022,1512.73,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2023,1494.51,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,吉林,2024,1443.73,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2005,106.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2006,109.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2007,98.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2008,115.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2009,98.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2010,106.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2011,107.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2012,104.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2013,106.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2014,106.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2015,104.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2016,105.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2017,107.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2018,102.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2019,105.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2020,103.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2021,106.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2022,102.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2023,103.7,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,吉林,2024,102.9,无
