数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2005,953.22,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2006,1002.32,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2007,894.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2008,1060.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2009,905.86,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2010,1017.21,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2011,1176.05,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2012,1254.85,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2013,1368.23,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2014,1381.09,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2015,1443.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2016,1513.2,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2017,1524.4,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2018,1450.2,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2019,1572.56,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2020,1569.29,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2021,1692.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2022,1728.05,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2023,1786.43,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,吉林,2024,1832.46,公斤
