数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2005,15.32,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2006,15.48,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2007,15.65,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2008,16.09,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2009,16.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2010,17.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2011,15.93,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2012,15.99,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2013,15.33,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2014,15.33,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2015,15.5,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2016,14.89,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2017,14.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2018,2.2,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2019,2.1,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2020,7.935387755102056,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2021,7.196561224489869,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2022,6.457734693877683,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2023,5.718908163265269,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2024,4.980081632653082,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2005,0.33,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2006,0.34,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2007,0.35,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2008,0.38,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2009,0.38,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2010,0.37,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2011,0.38,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2012,0.38,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2013,0.36,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2014,0.36,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2015,0.35,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2016,0.33,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2017,0.24,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2018,0.22,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2019,0.22,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2020,0.2,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2021,0.17,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2022,0.20748161764706197,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2023,0.19550245098039554,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,天津,2024,0.1835232843137291,万吨
