数据集名称,指标名称,地区,年份,数值,单位
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2005,9.25,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2006,10.11,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2007,10.63,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2008,10.95,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2009,10.11,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2010,10.96,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2011,12.01,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2012,12.75,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2013,13.84,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2014,13.56,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2015,13.79,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2016,14.16,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2017,14.63,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2018,15.05,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2019,16.12,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2020,36.08,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2021,40.63,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2022,33.35,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2023,51.77,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,宁夏,2024,56.6,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2005,29.93,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2006,31.92,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2007,34.63,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2008,34.75,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2009,35.54,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2010,37.93,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2011,38.24,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2012,39.44,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2013,40.44,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2014,39.67,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2015,40.09,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2016,40.72,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2017,40.8,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2018,38.37,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2019,38.44,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2020,38.06,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2021,37.46,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2022,36.88,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2023,36.68,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,宁夏,2024,36.76,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2005,11.36,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2006,11.3,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2007,12.64,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2008,12.12,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2009,12.75,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2010,13.86,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2011,13.98,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2012,14.67,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2013,15.08,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2014,14.82,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2015,15.58,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2016,16.21,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2017,16.32,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2018,15.19,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2019,15.52,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2020,15.66,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2021,16.71,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2022,16.53,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2023,16.64,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,宁夏,2024,16.3,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2005,13.81,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2006,15.66,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2007,16.55,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2008,16.65,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2009,16.64,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2010,17.74,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2011,17.66,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2012,18.15,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2013,18.54,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2014,17.84,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2015,17.31,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2016,17.41,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2017,17.35,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2018,16.37,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2019,16.18,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2020,15.83,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2021,13.92,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2022,13.65,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2023,13.45,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,宁夏,2024,13.46,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2005,3.64,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2006,3.85,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2007,3.95,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2008,4.16,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2009,4.03,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2010,4.15,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2011,4.24,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2012,4.4,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2013,4.45,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2014,4.5,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2015,4.53,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2016,4.44,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2017,4.34,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2018,4.05,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2019,4.0,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2020,3.87,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2021,3.92,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2022,4.03,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2023,3.83,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用磷肥施用折纯量 (万吨) ,宁夏,2024,4.13,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2005,1.12,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2006,1.11,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2007,1.49,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2008,1.82,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2009,2.12,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2010,2.18,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2011,2.36,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2012,2.22,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2013,2.37,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2014,2.51,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2015,2.67,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2016,2.66,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2017,2.78,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2018,2.77,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2019,2.73,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2020,2.7,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2021,2.9,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2022,2.67,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2023,2.76,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用钾肥施用折纯量 (万吨) ,宁夏,2024,2.88,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2005,423.53,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2006,427.28,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2007,426.2,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2008,451.94,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2009,453.55,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2010,464.6,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2011,477.59,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2012,491.35,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2013,498.56,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2014,498.91,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2015,506.53,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2016,515.15,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2017,511.45,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2018,523.45,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2019,538.29,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2020,552.53,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2021,563.78,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2022,560.57,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2023,564.0,千公顷
有效灌溉面积农用化肥施用量农村水电站及用电量,有效灌溉面积 (千公顷) ,宁夏,2024,564.69,千公顷
