数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,安徽,2005,2133.9135374149773,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2006,2029.9168537415096,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2007,1925.9201700680424,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2008,1821.9234863945749,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2009,1717.9268027211074,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2010,1751.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2011,1317.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2012,1152.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2013,1769.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2014,641.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2015,966.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2016,1341.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2017,399.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2018,863.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2019,958.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2020,1237.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2021,296.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2022,390.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2023,28.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,安徽,2024,174.9,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2005,3421.911666666623,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2006,3231.9929166666698,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2007,3042.074166666658,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2008,2852.1554166666465,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2009,2662.236666666635,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2010,1640.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2011,2990.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2012,2206.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2013,2855.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2014,1201.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2015,1069.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2016,1487.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2017,347.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2018,728.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2019,789.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2020,1064.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2021,265.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2022,263.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2023,35.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,安徽,2024,197.5,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2005,173.12122448979608,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2006,171.04112244897988,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2007,168.96102040816368,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2008,166.88091836734748,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2009,164.80081632653037,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2010,104.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2011,115.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2012,87.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2013,206.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2014,29.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2015,118.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2016,564.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2017,21.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2018,138.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2019,85.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2020,602.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2021,31.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2022,20.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2023,4.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,安徽,2024,94.3,亿元
