数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2005,62.49,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2006,63.44,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2007,64.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2008,66.73,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2009,70.75,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2010,75.29,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2011,77.43,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2012,75.6,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2013,75.27,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2014,77.59,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2015,78.7,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2016,79.89,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2017,77.71,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2018,88.52,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2019,85.5,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2020,88.61138095238084,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2021,90.36022023809528,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2022,92.10905952380972,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2023,93.8578988095237,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广东,2024,95.60673809523814,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2005,8.7,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2006,9.31,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2007,9.92,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2008,10.05,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2009,10.37,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2010,10.44,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2011,11.41,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2012,11.39,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2013,11.01,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2014,11.27,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2015,11.38,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2016,11.37,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2017,11.3,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2018,9.37,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2019,8.75,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2020,8.32,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2021,7.74,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2022,9.685248161764719,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2023,9.63655024509805,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广东,2024,9.587852328431381,万吨
