数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2005,51.12,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2006,53.02,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2007,54.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2008,55.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2009,56.74,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2010,58.13,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2011,59.75,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2012,61.66,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2013,63.3,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2014,64.65,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2015,64.78,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2016,63.6,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2017,56.83,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2018,52.69,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2019,53.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2020,60.97858503401358,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2021,61.35182482993196,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2022,61.72506462585034,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2023,62.09830442176872,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2024,62.4715442176871,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2005,5.33,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2006,5.46,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2007,6.0,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2008,6.2,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2009,6.22,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2010,6.45,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2011,6.62,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2012,6.78,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2013,6.9,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2014,7.2,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2015,7.49,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2016,8.57,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2017,7.25,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2018,6.97,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2019,6.81,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2020,6.6,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2021,6.42,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2022,7.5547380514705935,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2023,7.653826593137268,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,广西,2024,7.752915134803914,万吨
